compound_form,compound_form_normalized,PhoneticVersion_Compound,reading_status,reading_source,nested_in_forms,component_reading_inferred
|AN.ŠU₂.E₂|,AN.ŠU2.E2,,NO_ATTESTED_READING,,,/dimer/-ešša2-'a3
|ANŠE.AN|,ANŠE.AN,šakan₄,ATTESTED_DIRECT,OSL,,anše-/dimer/
|ANŠE.ARAD|,ANŠE.ARAD,dur₃|šakkan₆||ANŠE.ARAD|,ATTESTED_DIRECT,DIRI,,anše-...ki
|ANŠE.ARAD×KUR|,ANŠE.ARAD×KUR,,NO_ATTESTED_READING,,,anše-/ĝereš/
|ANŠE.IGI.DIB|,ANŠE.IGI.DIB,dusuₓ,ATTESTED_DIRECT,OSL,,anše-ša₁₇
|ANŠE.IGI|,ANŠE.IGI,dusuₓ,ATTESTED_DIRECT,OSL,,anše-bad5
|ANŠE.KUR|,ANŠE.KUR,ANŠE.KUR|SISIX(|ANŠE.KUR|)|sisix(|ANŠE.KUR|),ATTESTED_DIRECT,SYLLABARY_CM,,anše-amma
|ANŠE.PA|,ANŠE.PA,anšeₓ|anšuₓ|sumuganₓ|šakanₓ,ATTESTED_DIRECT,OSL,,anše-addirx(pa)
|ANŠE×SAL|,ANŠE×SAL,,NO_ATTESTED_READING,,,anše-f
|ANŠE×ŠA₃|,ANŠE×ŠA3,šakkanₓ,ATTESTED_DIRECT,OSL,,anše-didala
|ARAD.ANŠE|,ARAD.ANŠE,durₓ,ATTESTED_DIRECT,OGSL,,...ki-...ki-anše-anše
|ARAD.RA|,ARAD.RA,era?,ATTESTED_DIRECT,OSL,,...ki-ra
|ARKAB₂.IB|,ARKAB2.IB,arkabₓ,ATTESTED_DIRECT,OSL,,argab-arkabx(ib)
|A×AN|,A×AN,,NO_ATTESTED_READING,,,'u4-/dimer/
|A×KU₃|,A×KU3,,NO_ATTESTED_READING,,,'u4-ku3
|A×SUD@90|,A×SUD@90,amušₓ,ATTESTED_DIRECT,OSL,,'u4-sar4
|AŠ&AŠ&AŠ.AŠ&AŠ&AŠ.AŠ|,AŠ&AŠ&AŠ.AŠ&AŠ&AŠ.AŠ,imin₃|imina₃|umun₉,ATTESTED_DIRECT,OSL,,eš₁₆-eš₁₆-1aš
|AŠ&AŠ&AŠ.AŠ&AŠ&AŠ|,AŠ&AŠ&AŠ.AŠ&AŠ&AŠ,aš₉,ATTESTED_DIRECT,OSL,,eš₁₆-eš₁₆
|AŠ&AŠ&AŠ.TAB|,AŠ&AŠ&AŠ.TAB,ia₉,ATTESTED_DIRECT,OSL,,eš₁₆-dab2
|AŠ+GU₂|,AŠ+GU2,,NO_ATTESTED_READING,,,1aš-gu2
|AŠ+SUR|,AŠ+SUR,aš-šur,ATTESTED_DIRECT,OSL,,1aš-sur
|AŠ.A.AN|,AŠ.A.AN,tillaₓ,ATTESTED_DIRECT,OSL,,1aš-'u4-/dimer/
|AŠ.AN.AŠ|,AŠ.AN.AŠ,tillaₓ,ATTESTED_DIRECT,OSL,,1aš-/dimer/-1aš
|AŠ.AŠ|,AŠ.AŠ,didli|man₃|min₅,ATTESTED_DIRECT,OSL,,1aš-1aš-1aš-1aš
|AŠ.GAN₂|,AŠ.GAN2,ikuₓ,ATTESTED_DIRECT,OSL,,1aš-al3
|AŠ.HI×DIŠ.GI₄|,AŠ.HI×DIŠ.GI4,aski|ašgi,ATTESTED_DIRECT,OSL,,1aš-as₆-ga8
|AŠ.KUN|,AŠ.KUN,megidaₓ,ATTESTED_DIRECT,OSL,,1aš-...nunnam...
|AŠ@t.DAR|,AŠ@t.DAR,ašdar|eš₁₈-dar,ATTESTED_DIRECT,OSL,,1(aš@t)-dar
|AŠ@z&AŠ@z&AŠ@z|,AŠ@z&AŠ@z&AŠ@z,eš₁₆,ATTESTED_DIRECT,OSL,,1aš-1aš-1aš
|AŠ×BAD|,AŠ×BAD,,NO_ATTESTED_READING,,,1aš-ba9
|AŠ₂.A|,AŠ2.A,imgagaₓ|imŋaŋaₓ,ATTESTED_DIRECT,OSL,,as2-'u4
|AŠ₂.GAR₃|,AŠ2.GAR3,ešgar,ATTESTED_DIRECT,OSL,,as2-gar3
|AŠ₂.U&U|,AŠ2.U&U,bania,ATTESTED_DIRECT,OSL,,
|AŠ₂.U|,AŠ2.U,banlimmu,ATTESTED_DIRECT,OSL,,as2-1u
|A₂.AŠ|,A2.AŠ,liri₅|liru₅|lirum₅,ATTESTED_DIRECT,OSL,,a2-1aš
|A₂.GA₂×SAL|,A2.GA2×SAL,arhuš₇,ATTESTED_DIRECT,OSL,,a2-am5
|A₂.HU|,A2.HU,ti₈~v,ATTESTED_DIRECT,OSL,,a2-'u5
|A₂.KAL|,A2.KAL,liri₄|liru₄|lirum₄|usu|uššuₓ,ATTESTED_DIRECT,OSL,,a2-alad2
|A₂.MUŠ₃@g|,A2.MUŠ3@g,aškud,ATTESTED_DIRECT,OSL,,a2-muš2
|A₂.MUŠ₃|,A2.MUŠ3,aškud₂,ATTESTED_DIRECT,OSL,,a2-ennin
|A₂.PA|,A2.PA,azag₂,ATTESTED_DIRECT,OSL,,a2-addirx(pa)
|A₂.SAL|,A2.SAL,arhuš₆,ATTESTED_DIRECT,OSL,,a2-f
|A₂.TUR|,A2.TUR,arhuš₅,ATTESTED_DIRECT,OSL,,a2-ban3
|A₂.U.KID|,A2.U.KID,ašita|ašte,ATTESTED_DIRECT,OSL,,a2-1u-buru6
|A₂.UD.DU|,A2.UD.DU,ehe|ehi,ATTESTED_DIRECT,OSL,,a2-a12-aragub
|A₂.ZA.AN.MUŠ₃|,A2.ZA.AN.MUŠ3,aškudₓ|zannaruₓ,ATTESTED_DIRECT,OSL,,a2-sa3-/dimer/-ennin
|A₂.ZA.MUŠ₃|,A2.ZA.MUŠ3,,NESTED_IN_LONGER_FORM,,A2.ZA.MUŠ3@g,a2-sa3-ennin
|BAD&BAD.X|,BAD&BAD.X,,NO_ATTESTED_READING,,,
|BAD&BAD|,BAD&BAD,ešemen₅|ešemin₅,ATTESTED_DIRECT,OSL,,ba9-ba9
|BAD.AŠ|,BAD.AŠ,zar₆|zara₆|zuru₁₀,ATTESTED_DIRECT,OSL,,ba9-1aš
|BAD.BAD|,BAD.BAD,dabda₂|ugₓ,ATTESTED_DIRECT,OSL,,ba9-ba9
|BAD.IGI.BAD|,BAD.IGI.BAD,burₓ|buruₓ|gurinₓ|gurun₂|kurunₓ,ATTESTED_DIRECT,OSL,,ba9-bad5-ba9
|BAD.KASKAL|,BAD.KASKAL,sagmaš|saŋmaš|zanbur,ATTESTED_DIRECT,OSL,,ba9-bu2
|BAD.LU₂|,BAD.LU2,adₓ|addaₓ,ATTESTED_DIRECT,OSL,,ba9-addax(lu2)
|BAD.MI|,BAD.MI,adama|adamu|mudgi,ATTESTED_DIRECT,OSL,,ba9-dugud2
|BAD×AŠ@t|,BAD×AŠ@t,,NO_ATTESTED_READING,,,ba9-1(aš@t)
|BAD×DIŠ|,BAD×DIŠ,,NO_ATTESTED_READING,,,ba9-anₓ
|BAHAR₂×GU|,BAHAR2×GU,,NO_ATTESTED_READING,,,/allura/-gu
|BALAG.A|,BALAG.A,hurinₓ,ATTESTED_DIRECT,OSL,,balag-'u4
|BALAG.DIN.AN.MUŠ|,BALAG.DIN.AN.MUŠ,,NO_ATTESTED_READING,,,balag-dan5-/dimer/-imdudu
|BALAG.KID|,BALAG.KID,,NO_ATTESTED_READING,,,balag-buru6
|BALAG.LUL|,BALAG.LUL,tegi|tigi|tigu,ATTESTED_DIRECT,OSL,,balag-bah3
|BALAG.TUR|,BALAG.TUR,zabitum,ATTESTED_DIRECT,OSL,,balag-ban3
|BAR.3×AN|,BAR.3×AN,suhub|šuhub,ATTESTED_DIRECT,OSL,,ba15-anx3
|BAR.AN|,BAR.AN,kunga₂,ATTESTED_DIRECT,OGSL,,ba15-/dimer/
|BAR.BAHAR₂|,BAR.BAHAR2,,NO_ATTESTED_READING,,,ba15-/allura/
|BAR.GUD|,BAR.GUD,,NO_ATTESTED_READING,,,ba15-alap
|BAR.HU.KAK|,BAR.HU.KAK,nunmeli,ATTESTED_DIRECT,OSL,,ba15-'u5-ban4
|BARA₂.BI|,BARA2.BI,titabₓ,ATTESTED_DIRECT,OSL,,bar2-be2
|BARA₂.PAP.PAP|,BARA2.PAP.PAP,bara₂-munu₅|titab,ATTESTED_DIRECT,OSL,,bar2-aha3-aha3
|BARA₂.PAP.ŠE.PAP|,BARA2.PAP.ŠE.PAP,BARA2-MUNU5|BARA2.PAP.ŠE.PAP|TITAB|bara2-munu5|titab,ATTESTED_DIRECT,SYLLABARY_CM,,bar2-aha3-ašnan2-aha3
|BAR×AN|,BAR×AN,kunga₂|kungi₂|suhubₓ,ATTESTED_DIRECT,OSL,,ba15-/dimer/
|BI.DAR|,BI.DAR,lungaₓ,ATTESTED_DIRECT,OSL,,be2-dar
|BI.DIN|,BI.DIN,kurun,ATTESTED_DIRECT,OSL,,be2-dan5
|BI.GIŠ.GAD.A.A.SI|,BI.GIŠ.GAD.A.A.SI,,NO_ATTESTED_READING,,,be2-es-gad-'u4-'u4-hux(si)
|BI.GIŠ|,BI.GIŠ,gisalₓ,ATTESTED_DIRECT,OSL,,be2-es
|BI.KI.GAR|,BI.KI.GAR,,NO_ATTESTED_READING,,,be2-ammax(ki)-ga4
|BI.KI|,BI.KI,,NO_ATTESTED_READING,,,be2-ammax(ki)
|BI.LUL|,BI.LUL,kušum|šaqa|šaqu|šaqum,ATTESTED_DIRECT,OSL,,be2-bah3
|BI.MI|,BI.MI,kurun₅|siris₅,ATTESTED_DIRECT,OSL,,be2-dugud2
|BI.SUD.A|,BI.SUD.A,kašbirₓ,ATTESTED_DIRECT,OSL,,be2-sar4-'u4
|BI.UD.SUD|,BI.UD.SUD,kašbirₓ,ATTESTED_DIRECT,OSL,,be2-a12-sar4
|BI.UŠ.SA|,BI.UŠ.SA,dida₂|{kaš}dida₂|pihu₅,ATTESTED_DIRECT,OSL,,be2-geš3-gid3
|BI.U₂.SA.KA.KAK|,BI.U2.SA.KA.KAK,pihu,ATTESTED_DIRECT,OSL,,be2-ba6-gid3-/eneĝ/-ban4
|BI.U₂.SA|,BI.U2.SA,dida|pihu₄,ATTESTED_DIRECT,OSL,,be2-ba6-gid3
|BI.ZIZ₂.A.AN|,BI.ZIZ2.A.AN,{kaš}ulušin,ATTESTED_DIRECT,OSL,,be2-ziz2-'u4-/dimer/
|BI.ZIZ₂.AN.NA|,BI.ZIZ2.AN.NA,{kaš}ulušin₂,ATTESTED_DIRECT,OSL,,be2-ziz2-/dimer/-aniku
|BI.ZIZ₂.AN|,BI.ZIZ2.AN,{kaš}ulušin₃,ATTESTED_DIRECT,OSL,,be2-ziz2-/dimer/
|BI.ZIZ₂|,BI.ZIZ2,{kaš}ulušinₓ,ATTESTED_DIRECT,OSL,,be2-ziz2
|BI×BAD|,BI×BAD,,NO_ATTESTED_READING,,,be2-ba9
|BI×DIŠ|,BI×DIŠ,bappirₓ|lungaₓ,ATTESTED_DIRECT,OSL,,be2-anₓ
|BI×IGI|,BI×IGI,,NESTED_IN_LONGER_FORM,,BI×IGI@g,be2-bad5
|BI×PAP|,BI×PAP,,NO_ATTESTED_READING,,,be2-aha3
|BU%BU.AB|,BU%BU.AB,,NO_ATTESTED_READING,,,unu₁₂-ab
|BU&BU|,BU&BU,sirsirₓ,ATTESTED_DIRECT,OSL,,bu-bu
|BU.BU@90.KALAM@g|,BU.BU@90.KALAM@g,kitiₓ,ATTESTED_DIRECT,OSL,,
|BU.BU@90|,BU.BU@90,arinaₓ,ATTESTED_DIRECT,OSL,,
|BU.BU|,BU.BU,riₓ,ATTESTED_DIRECT,OSL,,bu-bu
|BU.DIN.BALAG.DAR|,BU.DIN.BALAG.DAR,,NO_ATTESTED_READING,,,bu-dan5-balag-dar
|BU.DIN.BALAG.NUN|,BU.DIN.BALAG.NUN,,NO_ATTESTED_READING,,,bu-dan5-balag-...ri
|BU.EŠ₂.ŠE.NUN|,BU.EŠ2.ŠE.NUN,saman₃,ATTESTED_DIRECT,OSL,,bu-ege-ašnan2-...ri
|BU.HA.DU|,BU.HA.DU,,NO_ATTESTED_READING,,,bu-'a4-aragub
|BU.NAGAR.UM|,BU.NAGAR.UM,ildumₓ,ATTESTED_DIRECT,OSL,,bu-alla-deh2
|BU.NAGAR|,BU.NAGAR,,NO_ATTESTED_READING,,,bu-alla
|BU.NU.NUN.LUH.EŠ₂|,BU.NU.NUN.LUH.EŠ2,samanₓ,ATTESTED_DIRECT,OSL,,bu-la3-...ri-huluh-ege
|BU.NUN.ŠE.EŠ₂|,BU.NUN.ŠE.EŠ2,samanₓ,ATTESTED_DIRECT,OSL,,bu-...ri-ašnan2-ege
|BU.ŠE.EŠ₂.NUN|,BU.ŠE.EŠ2.NUN,saman₃,ATTESTED_DIRECT,OSL,,bu-ašnan2-ege-...ri
|BU@90.BU.KALAM@g|,BU@90.BU.KALAM@g,,NO_ATTESTED_READING,,,
|BU@90.BU.NA₂|,BU@90.BU.NA2,,NO_ATTESTED_READING,,,
|BULUG.NAGAR|,BULUG.NAGAR,minbulugₓ,ATTESTED_DIRECT,OSL,,bu9-alla
|BUR.NU₁₁.LA.HU|,BUR.NU11.LA.HU,lagašₓ,ATTESTED_DIRECT,OSL,,bur-duri-la-'u5
|BUR.NU₁₁.LA|,BUR.NU11.LA,lagašₓ,ATTESTED_DIRECT,OSL,,bur-duri-la
|BUR.NU₁₁|,BUR.NU11,buruₓ|lagašₓ,ATTESTED_DIRECT,OGSL,,bur-bur-duri-duri
|BURU₅×A|,BURU5×A,,NO_ATTESTED_READING,,,birₓ-'u4
|BUR₂.BUR₂|,BUR2.BUR2,bubbur,ATTESTED_DIRECT,OSL,,bal2-bal2
|BU×ERIN₂|,BU×ERIN2,,NO_ATTESTED_READING,,,bu-bir3
|DA.UŠ|,DA.UŠ,gabraₓ|ragabₓ,ATTESTED_DIRECT,OSL,,ax(da)-geš3
|DAG.AB₂×LA|,DAG.AB2×LA,,NO_ATTESTED_READING,,,
|DAG.DAG.KISIM₅×(U₂.GIR₂)|,DAG.DAG.KISIM5×(U2.GIR2),,NO_ATTESTED_READING,,,bar3-dag.kisim5×u2+gir2
|DAG.E₂.NUN|,DAG.E2.NUN,,NO_ATTESTED_READING,,,bar3-'a3-...ri
|DAG.KISIM₅|,DAG.KISIM5,kišiₓ,ATTESTED_DIRECT,OSL,,bar3-kisim5
|DAG.KISIM₅×(LU.GIR₂)|,DAG.KISIM5×(LU.GIR2),kišiₓ,ATTESTED_DIRECT,OSL,,
|DAG.KISIM₅×EN|,DAG.KISIM5×EN,,NO_ATTESTED_READING,,,
|DAG.KISIM₅×U|,DAG.KISIM5×U,uburₓ,ATTESTED_DIRECT,OSL,,
|DAG.KISIM₅×X|,DAG.KISIM5×X,ku₁₂|lu₁₀,ATTESTED_DIRECT,OSL,,
|DAG.KISIM₅×ŠE|,DAG.KISIM5×ŠE,,NO_ATTESTED_READING,,,
|DAG×PAP|,DAG×PAP,DAG×PA4|DAG×PAP,ATTESTED_DIRECT,SYLLABARY_CM,,bar3-aha3
|DAG×U|,DAG×U,,NO_ATTESTED_READING,,,bar3-1u
|DAM.UŠ|,DAM.UŠ,nitadamₓ,ATTESTED_DIRECT,OSL,,da4-geš3
|DARA₃×MA|,DARA3×MA,,NO_ATTESTED_READING,,,dar3-ma
|DA×GIŠ@t|,DA×GIŠ@t,,NO_ATTESTED_READING,,,ax(da)-giš@t
|DI.DI|,DI.DI,sadu,ATTESTED_DIRECT,OSL,,de-de
|DI.TAR|,DI.TAR,ištaranₓ,ATTESTED_DIRECT,OSL,,de-dar6
|DI.X|,DI.X,guruštiₓ,ATTESTED_DIRECT,OSL,,
|DIM×KAK|,DIM×KAK,saŋšagurₓ|šagurₓ|šaŋurₓ,ATTESTED_DIRECT,OSL,,di11-ban4
|DIM×KUR.SAR|,DIM×KUR.SAR,,NO_ATTESTED_READING,,,
|DIM×MAŠ|,DIM×MAŠ,mašgurₓ,ATTESTED_DIRECT,OSL,,di11-ba7
|DIM₂×SU|,DIM2×SU,,NO_ATTESTED_READING,,,/šitlam/-guš
|DIN.BI|,DIN.BI,kurunₓ,ATTESTED_DIRECT,OSL,,dan5-be2
|DIN.KASKAL|,DIN.KASKAL,kurunₓ,ATTESTED_DIRECT,OSL,,dan5-bu2
|DIN.ŠE.NUN&NUN|,DIN.ŠE.NUN&NUN,babilaₓ|din-tir|gamun,ATTESTED_DIRECT,OSL,,dan5-dir4
|DIN×ŠE|,DIN×ŠE,,NO_ATTESTED_READING,,,dan5-ašnan2
|DIŠ+NUN.LAGAR|,DIŠ+NUN.LAGAR,immal,ATTESTED_DIRECT,OSL,,anₓ-...ri-lagal
|DIŠ.DAR|,DIŠ.DAR,ašdar₂,ATTESTED_DIRECT,OSL,,anₓ-dar
|DIŠ.DIŠ.DIŠ.U.U.U|,DIŠ.DIŠ.DIŠ.U.U.U,iššebuₓ,ATTESTED_DIRECT,OSL,,anₓ-anₓ-anₓ-ba₃
|DIŠ.DIŠ.DIŠ.U.U|,DIŠ.DIŠ.DIŠ.U.U,eššaba|eššana|iššebu,ATTESTED_DIRECT,OSL,,anₓ-anₓ-anₓ-amna₂
|DIŠ.DIŠ.DIŠ|,DIŠ.DIŠ.DIŠ,eš₅|eša₅,ATTESTED_DIRECT,OSL,,anₓ-anₓ-anₓ
|DIŠ@k.DIŠ@k.DIŠ@k.DIŠ@k|,DIŠ@k.DIŠ@k.DIŠ@k.DIŠ@k,bag₂|bak₂,ATTESTED_DIRECT,OSL,,
|DU&DU.DU&DU|,DU&DU.DU&DU,lahₓ|rahₓ|reₓ|suₓ|subₓ|sugₓ|šuₓ,ATTESTED_DIRECT,OSL,,er₁₄-er₁₄
|DU.DU.DU.DU|,DU.DU.DU.DU,lahₓ|lalahₓ|rahₓ|reₓ|suₓ|subₓ|sugₓ|šuₓ,ATTESTED_DIRECT,OSL,,aragub-aragub-aragub-aragub
|DU.DU|,DU.DU,erₓ|ereₓ|gidₓ|lah₅|laha₅|lalah₂|rahₓ|sugₓ|šuₓ,ATTESTED_DIRECT,OSL,,aragub-aragub
|DU.HUB₂|,DU.HUB2,rig₁₂|rige₁₂,ATTESTED_DIRECT,OSL,,aragub-dux(hub2)
|DU.KI|,DU.KI,alikₓ,ATTESTED_DIRECT,OSL,,aragub-ammax(ki)
|DU.LAGAR@g|,DU.LAGAR@g,edₓ,ATTESTED_DIRECT,OSL,,aragub-du6
|DU.MUŠ.A.HA|,DU.MUŠ.A.HA,,NO_ATTESTED_READING,,,aragub-imdudu-'u4-'a4
|DU@g.A|,DU@g.A,ganaₓ,ATTESTED_DIRECT,OSL,,du@g-'u4
|DU@g.DU@g|,DU@g.DU@g,gigri,ATTESTED_DIRECT,OSL,,du@g-du@g
|DU@g×KASKAL|,DU@g×KASKAL,,NO_ATTESTED_READING,,,du@g-bu2
|DU@s&DU@s|,DU@s&DU@s,,NO_ATTESTED_READING,,,barim-barim
|DU@s.A|,DU@s.A,gan₃|gana₃,ATTESTED_DIRECT,OSL,,barim-'u4
|DU@s.KI|,DU@s.KI,lasimₓ,ATTESTED_DIRECT,OSL,,barim-ammax(ki)
|DU@s.PA|,DU@s.PA,maškimₓ,ATTESTED_DIRECT,OSL,,barim-addirx(pa)
|DUB.LAGAB|,DUB.LAGAB,,NO_ATTESTED_READING,,,dab4-ella2
|DUB.ME|,DUB.ME,,NO_ATTESTED_READING,,,dab4-ba13
|DUB.TI|,DUB.TI,,NO_ATTESTED_READING,,,dab4-de9
|DUB×ŠA₃|,DUB×ŠA3,,NO_ATTESTED_READING,,,dab4-didala
|DUB₂.LUL|,DUB2.LUL,DUB2.LUL,ATTESTED_DIRECT,SYLLABARY_CM,,dim5-bah3
|DUG.BUR|,DUG.BUR,baharₓ,ATTESTED_DIRECT,OSL,,dug-bur
|DUG.DUG|,DUG.DUG,lumₓ,ATTESTED_DIRECT,OSL,,dug-dug
|DUG.LIŠ.BUR|,DUG.LIŠ.BUR,,NO_ATTESTED_READING,,,dug-del₂-bur
|DUG.PAP.BUR|,DUG.PAP.BUR,baharₓ,ATTESTED_DIRECT,OSL,,dug-aha3-bur
|DUG.SILA₃.BUR.NA|,DUG.SILA3.BUR.NA,bahar₅,ATTESTED_DIRECT,OSL,,dug-ga5-bur-aniku
|DUG.SILA₃.BUR|,DUG.SILA3.BUR,,NESTED_IN_LONGER_FORM,,DUG.SILA3.BUR.NA,dug-ga5-bur
|DUG×DUB|,DUG×DUB,,NO_ATTESTED_READING,,,dug-dab4
|DUG×LUH|,DUG×LUH,,NO_ATTESTED_READING,,,dug-huluh
|DUG×ŠUBUR|,DUG×ŠUBUR,,NO_ATTESTED_READING,,,dug-sah2
|DUN.GI|,DUN.GI,,NO_ATTESTED_READING,,,du24-ešša3
|DUN.NE.TUR|,DUN.NE.TUR,zahdaₓ,ATTESTED_DIRECT,OSL,,du24-bar7-ban3
|DUN.TUR|,DUN.TUR,zahdaₓ,ATTESTED_DIRECT,OSL,,du24-ban3
|DUN₃@g.UŠ|,DUN3@g.UŠ,aga-us₂|uku-uš,ATTESTED_DIRECT,OSL,,aga3-geš3
|DUN₃@g@g.UŠ|,DUN3@g@g.UŠ,ukuš,ATTESTED_DIRECT,OSL,,aga-geš3
|DUN₃@g@g.ZA|,DUN3@g@g.ZA,nirₓ,ATTESTED_DIRECT,OSL,,aga-sa3
|DUN₃@g@g×UŠ|,DUN3@g@g×UŠ,,NO_ATTESTED_READING,,,aga-geš3
|DUR₂&DUR₂|,DUR2&DUR2,,NO_ATTESTED_READING,,,dur2-dur2
|DU×KASKAL|,DU×KASKAL,,NO_ATTESTED_READING,,,aragub-bu2
|DU×TAK₄|,DU×TAK4,,NO_ATTESTED_READING,,,aragub-azad2
|E.KISIM₅×(A.MAŠ)|,E.KISIM5×(A.MAŠ),,NO_ATTESTED_READING,,,
|E.KISIM₅×(U₂.GIR₂)|,E.KISIM5×(U2.GIR2),,NO_ATTESTED_READING,,,
|E.KISIM₅×BALAG|,E.KISIM5×BALAG,,NO_ATTESTED_READING,,,
|E.KISIM₅×GA|,E.KISIM5×GA,,NO_ATTESTED_READING,,,
|E.KISIM₅×GIR₂|,E.KISIM5×GIR2,,NO_ATTESTED_READING,,,
|E.KISIM₅×LA|,E.KISIM5×LA,,NO_ATTESTED_READING,,,
|E.KISIM₅×TAK₄|,E.KISIM5×TAK4,,NO_ATTESTED_READING,,,
|E.KISIM₅×X|,E.KISIM5×X,garaₓ,ATTESTED_DIRECT,OSL,,
|E.PAP.PAP|,E.PAP.PAP,paₓ,ATTESTED_DIRECT,OSL,,e-aha3-aha3
|E.SUD.HUB₂×UD|,E.SUD.HUB2×UD,kuru|šuruₓ,ATTESTED_DIRECT,OSL,,e-sar4-hub
|E.TUM.GA₂×(NUN&NUN)|,E.TUM.GA2×(NUN&NUN),guruₓ|kurulₓ,ATTESTED_DIRECT,OSL,,e-dam3-gušur?
|E.TUM|,E.TUM,gur₂₁|guru₂₁|kur₁₄|kuru₁₄|kurul₁₄|šuruₓ,ATTESTED_DIRECT,OSL,,e-dam3
|EDIN.A.LAL|,EDIN.A.LAL,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-'u4-la2
|EDIN.A.SU.A|,EDIN.A.SU.A,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-'u4-guš-'u4
|EDIN.A.SU|,EDIN.A.SU,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-'u4-guš
|EDIN.A|,EDIN.A,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-'u4
|EDIN.LAL.A|,EDIN.LAL.A,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-la2-'u4
|EDIN.LAL|,EDIN.LAL,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-la2
|EDIN.NA.A.LAL|,EDIN.NA.A.LAL,ummuₓ,ATTESTED_DIRECT,OSL,,bilx(edin)-aniku-'u4-la2
|EL.SUD|,EL.SUD,,NO_ATTESTED_READING,,,el-sar4
|EN%EN.EN%EN|,EN%EN.EN%EN,,NO_ATTESTED_READING,,,adamen₅-adamen₅
|EN%EN.IM%IM|,EN%EN.IM%IM,dalhamun₃|nimgigri₂|nimgirgirri₂|nimŋirŋirri₂,ATTESTED_DIRECT,OSL,,adamen₅-agar₅
|EN.DAG.NUN.X|,EN.DAG.NUN.X,enkumₓ,ATTESTED_DIRECT,OSL,,
|EN.DIM₂.GIG|,EN.DIM2.GIG,enegi₃|enegir₃|ennigi₃,ATTESTED_DIRECT,OSL,,adx(en)-/šitlam/-ge17
|EN.E₂|,EN.E2,,NO_ATTESTED_READING,,,adx(en)-'a3
|EN.GA₂×SAL.DIM₂|,EN.GA2×SAL.DIM2,šugalanzuₓ,ATTESTED_DIRECT,OSL,,adx(en)-am5-/šitlam/
|EN.GI|,EN.GI,enegiₓ|engizₓ,ATTESTED_DIRECT,OSL,,adx(en)-ešša3
|EN.KI|,EN.KI,tungal₂|tunŋal₂,ATTESTED_DIRECT,OSL,,adx(en)-ammax(ki)
|EN.KU.A|,EN.KU.A,mudru₂,ATTESTED_DIRECT,OSL,,adx(en)-be5-'u4
|EN.LI|,EN.LI,ensiₓ,ATTESTED_DIRECT,OSL,,adx(en)-en3
|EN.MAŠ.KAK|,EN.MAŠ.KAK,mašda₄,ATTESTED_DIRECT,OSL,,adx(en)-ba7-ban4
|EN.ME.AD.KU₃|,EN.ME.AD.KU3,šennu,ATTESTED_DIRECT,OSL,,adx(en)-ba13-ab3-ku3
|EN.ME.AN×MUŠ₃|,EN.ME.AN×MUŠ3,,NO_ATTESTED_READING,,,
|EN.ME.GI₄|,EN.ME.GI4,engiz||EN.ME.GI₄|,ATTESTED_DIRECT,DIRI,,adx(en)-ba13-ga8
|EN.ME.LAGAR|,EN.ME.LAGAR,murub₃,ATTESTED_DIRECT,OSL,,adx(en)-ba13-lagal
|EN.ME.ZI.AN.NA|,EN.ME.ZI.AN.NA,endibₓ,ATTESTED_DIRECT,OSL,,adx(en)-ba13-se2-/dimer/-aniku
|EN.NU.NUNUZ.ZI.AN.UD|,EN.NU.NUNUZ.ZI.AN.UD,nunuzziₓ,ATTESTED_DIRECT,OSL,,adx(en)-la3-nunu-se2-/dimer/-a12
|EN.NU.NUNUZ.ZI.AN.ŠEŠ.KI|,EN.NU.NUNUZ.ZI.AN.ŠEŠ.KI,,NO_ATTESTED_READING,,,adx(en)-la3-nunu-se2-/dimer/-ah2-ammax(ki)
|EN.NUNUZ.MA|,EN.NUNUZ.MA,ennigi₂,ATTESTED_DIRECT,DIRI,,adx(en)-nunu-ma
|EN.PAP.E.IGI@g.NUN.ME.EZEN×KASKAL|,EN.PAP.E.IGI@g.NUN.ME.EZEN×KASKAL,enkumₓ,ATTESTED_DIRECT,OSL,,adx(en)-aha3-e-agar4-...ri-ba13-asilax(
|EN.PAP.IGI@g.NUN.EZEN×KASKAL|,EN.PAP.IGI@g.NUN.EZEN×KASKAL,|EN.PAP.IGI@g.NUN.EZEN×KASKAL|,ATTESTED_DIRECT,DIRI,,adx(en)-aha3-agar4-...ri-asilax(
|EN.SAL.NUNUZ.ZI.AN.ŠEŠ.KI|,EN.SAL.NUNUZ.ZI.AN.ŠEŠ.KI,zirruₓ,ATTESTED_DIRECT,OSL,,adx(en)-f-nunu-se2-/dimer/-ah2-ammax(ki)
|EN.TI|,EN.TI,ebeh|ebih,ATTESTED_DIRECT,OSL,,adx(en)-de9
|EN.ZU|,EN.ZU,sin₃|suen|suena|tungal|zuen|zuena,ATTESTED_DIRECT,OSL,,adx(en)-ka14
|EN.ŠEŠ|,EN.ŠEŠ,suruen,ATTESTED_DIRECT,OSL,,adx(en)-ah2
